#광역	국회의원선거구	행정동(읍면)	더민주타깃	더민주평균	더민주적극	더민주소극	제3당(무소속)	새누리소극	새누리적극	새누리평균	새누리타깃
서울	광진구을	자양제2동	 7.964 	 53.302 	 48.384 	 4.918 	 3.046 	 3.954 	 39.698 	 43.652 	 7.000 
서울	광진구을	구의제3동	 7.895 	 49.702 	 44.409 	 5.293 	 2.602 	 3.294 	 44.402 	 47.696 	 5.896 
서울	광진구을	자양제4동	 7.275 	 54.826 	 51.102 	 3.724 	 3.551 	 6.115 	 35.508 	 41.623 	 9.666 
서울	광진구을	자양제1동	 7.147 	 56.585 	 52.754 	 3.831 	 3.316 	 4.555 	 35.545 	 40.100 	 7.870 
서울	광진구을		 8.120 	 54.512 	 49.470 	 5.042 	 3.078 	 4.109 	 38.301 	 42.410 	 7.187 
서울	구로구갑	오류제2동	 8.563 	 52.310 	 46.047 	 6.263 	 2.301 	 3.884 	 41.505 	 45.390 	 6.185 
서울	구로구갑	고척제1동	 6.985 	 50.402 	 45.474 	 4.928 	 2.057 	 3.107 	 44.434 	 47.541 	 5.164 
서울	구로구갑	개봉제2동	 6.941 	 52.642 	 47.837 	 4.805 	 2.136 	 3.103 	 42.119 	 45.222 	 5.239 
서울	구로구갑	고척제2동	 6.671 	 53.138 	 48.839 	 4.299 	 2.372 	 2.062 	 42.428 	 44.490 	 4.434 
서울	구로구갑	오류제1동	 6.523 	 49.742 	 45.386 	 4.356 	 2.167 	 2.198 	 45.893 	 48.091 	 4.365 
서울	구로구갑	개봉제1동	 6.245 	 51.690 	 47.635 	 4.055 	 2.190 	 1.740 	 44.380 	 46.120 	 3.930 
서울	구로구갑	개봉제3동	 6.093 	 53.744 	 49.823 	 3.921 	 2.172 	 3.522 	 40.562 	 44.084 	 5.693 
서울	구로구갑	수궁동	 4.840 	 48.478 	 45.928 	 2.550 	 2.289 	 1.633 	 47.599 	 49.232 	 3.922 
서울	구로구갑		 6.608 	 51.518 	 47.121 	 4.397 	 2.210 	 2.656 	 43.615 	 46.271 	 4.867 
서울	구로구을	신도림동	 9.495 	 53.500 	 46.261 	 7.240 	 2.255 	 4.785 	 39.460 	 44.245 	 7.039 
서울	구로구을	구로제1동	 9.182 	 59.217 	 52.382 	 6.835 	 2.347 	 4.615 	 33.821 	 38.436 	 6.962 
서울	구로구을	구로제3동	 9.170 	 65.995 	 59.539 	 6.456 	 2.715 	 4.417 	 26.873 	 31.290 	 7.132 
서울	구로구을	구로제5동	 8.405 	 57.454 	 51.530 	 5.924 	 2.482 	 3.881 	 36.184 	 40.065 	 6.362 
서울	구로구을	가리봉동	 5.842 	 55.043 	 51.518 	 3.525 	 2.317 	 7.225 	 35.415 	 42.640 	 9.542 
서울	구로구을	구로제4동	 5.598 	 60.825 	 57.711 	 3.114 	 2.485 	 3.918 	 32.772 	 36.690 	 6.403 
서울	구로구을	구로제2동	 5.097 	 55.554 	 52.721 	 2.833 	 2.264 	 3.861 	 38.321 	 42.182 	 6.125 
서울	구로구을		 7.542 	 58.227 	 53.095 	 5.132 	 2.409 	 4.672 	 34.692 	 39.364 	 7.081 
서울	금천구	가산동	 9.068 	 58.934 	 54.039 	 4.895 	 4.173 	 4.201 	 32.693 	 36.893 	 8.374 
서울	금천구	시흥제2동	 8.304 	 53.411 	 49.470 	 3.941 	 4.363 	 5.064 	 37.162 	 42.226 	 9.427 
서울	금천구	독산제1동	 7.890 	 56.233 	 52.443 	 3.790 	 4.100 	 4.455 	 35.212 	 39.667 	 8.555 
서울	금천구	시흥제4동	 7.889 	 52.804 	 50.026 	 2.779 	 5.110 	 5.716 	 36.370 	 42.086 	 10.825 
서울	금천구	시흥제1동	 7.364 	 52.044 	 49.231 	 2.813 	 4.551 	 5.752 	 37.653 	 43.404 	 10.303 
서울	금천구	시흥제3동	 7.350 	 51.665 	 48.615 	 3.050 	 4.300 	 4.791 	 39.244 	 44.035 	 9.091 
서울	금천구	독산제2동	 7.100 	 55.105 	 52.338 	 2.768 	 4.333 	 5.714 	 34.848 	 40.562 	 10.047 
서울	금천구	시흥제5동	 6.976 	 51.693 	 49.687 	 2.005 	 4.970 	 6.263 	 37.074 	 43.337 	 11.233 
서울	금천구	독산제3동	 6.367 	 54.895 	 52.337 	 2.558 	 3.809 	 3.777 	 37.519 	 41.296 	 7.585 
서울	금천구	독산제4동	 5.677 	 55.872 	 54.557 	 1.315 	 4.362 	 5.462 	 34.304 	 39.766 	 9.824 
서울	금천구		 7.398 	 54.266 	 51.274 	 2.991 	 4.407 	 5.119 	 36.208 	 41.327 	 9.526 
서울	노원구갑	공릉2동	 11.094 	 49.754 	 42.164 	 7.590 	 3.503 	 5.440 	 41.302 	 46.742 	 8.943 
서울	노원구갑	월계3동	 9.420 	 51.925 	 45.396 	 6.529 	 2.891 	 4.620 	 40.564 	 45.184 	 7.511 
서울	노원구갑	공릉1동	 9.110 	 52.337 	 46.385 	 5.953 	 3.157 	 4.345 	 40.161 	 44.506 	 7.502 
서울	노원구갑	월계1동	 9.041 	 49.650 	 43.761 	 5.889 	 3.152 	 4.600 	 42.598 	 47.198 	 7.752 
서울	노원구갑	월계2동	 8.955 	 49.823 	 44.003 	 5.821 	 3.134 	 3.721 	 43.321 	 47.042 	 6.855 
